Organ wydający decyzję,Obywatelstwo,Liczba  decyzji,Liczba osób objetych decyzją
,ARMENIA,4,4
,BIAŁORUŚ,23,37
,EGIPT,1,1
,IRAK,1,1
,IRAN,1,1
,PALESTYNA,1,1
,ROSJA,14,24
,STANY ZJEDNOCZONE AMERYKI,1,1
,SYRIA,1,1
,TURCJA,1,1
,UKRAINA,14,15
,UZBEKISTAN,2,2
WOJEWODA DOLNOŚLĄSKI,ARMENIA,2,2
,BIAŁORUŚ,5,5
,PALESTYNA,1,1
,UKRAINA,9,11
WOJEWODA ŁÓDZKI,JORDANIA,1,1
,ROSJA,1,1
,TURCJA,1,1
,UKRAINA,3,3
WOJEWODA LUBELSKI,ARMENIA,1,1
,BIAŁORUŚ,1,1
,TUNEZJA,1,1
,UKRAINA,6,7
WOJEWODA LUBUSKI,UKRAINA,1,2
WOJEWODA MAŁOPOLSKI,BIAŁORUŚ,7,13
,KONGO,1,1
,NIGERIA,1,1
,ROSJA,2,6
,UKRAINA,13,15
,UZBEKISTAN,1,1
,WIETNAM,1,1
WOJEWODA MAZOWIECKI,ARMENIA,3,3
,AZERBEJDŻAN,2,4
,BANGLADESZ,1,1
,BEZ OBYWATELSTWA,1,1
,BIAŁORUŚ,29,39
,BUŁGARIA,1,1
,CHORWACJA,1,1
,HISZPANIA,1,1
,INDIE,2,2
,IRAK,2,2
,IRAN,1,1
,KAZACHSTAN,2,2
,LIBAN,1,1
,LIBIA,3,3
,MONGOLIA,2,2
,ROSJA,21,30
,RUMUNIA,1,3
,SENEGAL,1,1
,STANY ZJEDNOCZONE AMERYKI,1,1
,TURCJA,1,1
,UKRAINA,41,42
,WIELKA BRYTANIA,1,1
,WIETNAM,5,7
,WŁOCHY,1,1
WOJEWODA OPOLSKI,UKRAINA,2,2
WOJEWODA PODKARPACKI,ROSJA,4,5
,UKRAINA,7,10
WOJEWODA PODLASKI,BIAŁORUŚ,8,10
,ROSJA,1,1
,UKRAINA,1,1
WOJEWODA POMORSKI,ARMENIA,1,1
,BIAŁORUŚ,8,14
,BOŚNIA I HERCEGOWINA,1,1
,NIGERIA,1,1
,ROSJA,5,8
,TURCJA,1,1
,UKRAINA,13,18
WOJEWODA ŚLĄSKI,EGIPT,1,1
,UKRAINA,3,3
WOJEWODA WARMIŃSKO-MAZURSKI,ALGIERIA,1,1
,ROSJA,1,1
WOJEWODA WIELKOPOLSKI,BIAŁORUŚ,1,1
,IRAK,1,1
,UKRAINA,3,3
WOJEWODA ZACHODNIOPOMORSKI,ARMENIA,1,1
,BEZ OBYWATELSTWA,1,1
,ROSJA,3,3
,UKRAINA,6,6
